Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
200	202	0	1000
200.05	202.05	0	1000
200.1	202.1	0	1000
200.15	202.15	0	1000
200.2	202.2	0	1000
200.25	202.25	0	1000
200.3	202.3	0	1000
200.35	202.35	0	1000
200.4	202.4	0	1000
200.45	202.45	0	1000
200.5	202.5	0	1000
200.55	202.55	0	1000
200.6	202.6	0	1000
200.85	202.85	0	1000
200.95	202.95	0	1000
201	203	0	1000
201.05	203.05	0	1000
201.1	203.1	0	1000
201.15	203.15	0	1000
201.2	203.2	0	1000
201.25	203.25	0	1000
201.3	203.3	0	1000
201.35	203.35	0	1000
201.4	203.4	0	1000
201.45	203.45	0	1000
201.55	203.55	0	1000
201.6	203.6	0	1000
201.65	203.65	0	1000
201.7	203.7	0	1000
201.75	203.75	0	1000
201.85	203.85	0	1000
201.95	203.95	0	1000
202	204	0	1000
202.05	204.05	0	1000
202.1	204.1	0	1000
202.15	204.15	0	1000
202.2	204.2	0	1000
202.25	204.25	0	1000
202.3	204.3	0	1000
202.35	204.35	0	1000
202.4	204.4	0	1000
202.45	204.45	0	1000
202.5	204.5	0	1000
202.55	204.55	0	1000
202.6	204.6	0	1000
202.65	204.65	0	1000
202.7	204.7	0	1000
202.75	204.75	0	1000
202.8	204.8	0	1000
202.85	204.85	0	1000
202.9	204.9	0	1000
202.95	204.95	0	1000
203	205	0	1000
203.05	205.05	0	1000
203.1	205.1	0	1000
203.15	205.15	0	1000
203.2	205.2	0	1000
203.25	205.25	0	1000
203.3	205.3	0	1000
203.35	205.35	0	1000
203.4	205.4	0	1000
203.45	205.45	0	1000
203.5	205.5	0	1000
203.55	205.55	0	1000
203.6	205.6	0	1000
203.65	205.65	0	1000
203.7	205.7	0	1000
203.75	205.75	0	1000
203.8	205.8	0	1000
203.85	205.85	0	1000
203.9	205.9	0	1000
203.95	205.95	0	1000
204	206	0	1000
204.05	206.05	0	1000
204.1	206.1	0	1000
204.15	206.15	0	1000
204.2	206.2	0	1000
204.25	206.25	0	1000
204.3	206.3	0	1000
204.35	206.35	0	1000
204.4	206.4	0	1000
204.45	206.45	0	1000
204.5	206.5	0	1000
204.55	206.55	0	1000
204.6	206.6	0	1000
204.65	206.65	0	1000
204.7	206.7	0	1000
204.75	206.75	0	1000
204.8	206.8	0	1000
204.85	206.85	0	1000
204.9	206.9	0	1000
204.95	206.95	0	1000
205	207	0	1000
205.05	207.05	0	1000
205.1	207.1	0	1000
205.15	207.15	0	1000
205.2	207.2	0	1000
205.25	207.25	0	1000
205.3	207.3	0	1000
205.35	207.35	0	1000
205.4	207.4	0	1000
205.45	207.45	0	1000
205.5	207.5	0	1000
205.55	207.55	0	1000
205.6	207.6	0	1000
205.65	207.65	0	1000
205.7	207.7	0	1000
205.75	207.75	0	1000
205.8	207.8	0	1000
205.85	207.85	0	1000
205.9	207.9	0	1000
205.95	207.95	0	1000
206	208	0	1000
206.05	208.05	0	1000
206.1	208.1	0	1000
206.15	208.15	0	1000
206.2	208.2	0	1000
206.25	208.25	0	1000
206.3	208.3	0	1000
206.35	208.35	0	1000
206.4	208.4	0	1000
206.45	208.45	0	1000
206.5	208.5	0	1000
206.55	208.55	0	1000
206.6	208.6	0	1000
206.65	208.65	0	1000
206.7	208.7	0	1000
206.75	208.75	0	1000
206.8	208.8	0	1000
206.85	208.85	0	1000
206.9	208.9	0	1000
206.95	208.95	0	1000
207	209	0	1000
207.05	209.05	0	1000
207.1	209.1	0	1000
207.15	209.15	0	1000
207.2	209.2	0	1000
207.25	209.25	0	1000
207.3	209.3	0	1000
207.35	209.35	0	1000
207.4	209.4	0	1000
207.45	209.45	0	1000
207.5	209.5	0	1000
207.55	209.55	0	1000
207.6	209.6	0	1000
207.65	209.65	0	1000
207.7	209.7	0	1000
207.75	209.75	0	1000
207.8	209.8	0	1000
207.85	209.85	0	1000
207.9	209.9	0	1000
207.95	209.95	0	1000
208	210	0	1000
208.05	210.05	0	1000
208.1	210.1	0	1000
208.15	210.15	0	1000
208.2	210.2	0	1000
208.25	210.25	0	1000
208.3	210.3	0	1000
208.35	210.35	0	1000
208.4	210.4	0	1000
208.45	210.45	0	1000
208.5	210.5	0	1000
208.55	210.55	0	1000
208.6	210.6	0	1000
208.65	210.65	0	1000
208.7	210.7	0	1000
208.75	210.75	0	1000
208.8	210.8	0	1000
208.85	210.85	0	1000
208.9	210.9	0	1000
208.95	210.95	0	1000
209	211	0	1000
209.05	211.05	0	1000
209.1	211.1	0	1000
209.15	211.15	0	1000
209.2	211.2	0	1000
209.25	211.25	0	1000
209.3	211.3	0	1000
209.35	211.35	0	1000
209.4	211.4	0	1000
209.45	211.45	0	1000
209.5	211.5	0	1000
209.55	211.55	0	1000
209.6	211.6	0	1000
209.65	211.65	0	1000
209.7	211.7	0	1000
209.75	211.75	0	1000
209.8	211.8	0	1000
209.85	211.85	0	1000
209.9	211.9	0	1000
209.95	211.95	0	1000
210	212	0	1000
210.05	212.05	0	1000
210.1	212.1	0	1000
210.15	212.15	0	1000
210.2	212.2	0	1000
210.25	212.25	0	1000
210.3	212.3	0	1000
210.35	212.35	0	1000
210.4	212.4	0	1000
210.45	212.45	0	1000
210.5	212.5	0	1000
210.55	212.55	0	1000
210.6	212.6	0	1000
210.65	212.65	0	1000
210.7	212.7	0	1000
210.75	212.75	0	1000
210.8	212.8	0	1000
210.85	212.85	0	1000
210.9	212.9	0	1000
210.95	212.95	0	1000
211	213	0	1000
211.05	213.05	0	1000
211.1	213.1	0	1000
211.15	213.15	0	1000
211.2	213.2	0	1000
211.25	213.25	0	1000
211.3	213.3	0	1000
211.35	213.35	0	1000
211.4	213.4	0	1000
211.45	213.45	0	1000
211.5	213.5	0	1000
211.55	213.55	0	1000
211.6	213.6	0	1000
211.65	213.65	0	1000
211.7	213.7	0	1000
211.75	213.75	0	1000
211.8	213.8	0	1000
211.85	213.85	0	1000
211.9	213.9	0	1000
211.95	213.95	0	1000
212	214	0	1000
212.05	214.05	0	1000
212.1	214.1	0	1000
212.15	214.15	0	1000
212.2	214.2	0	1000
212.25	214.25	0	1000
212.3	214.3	0	1000
212.35	214.35	0	1000
212.4	214.4	0	1000
212.45	214.45	0	1000
212.5	214.5	0	1000
212.55	214.55	0	1000
212.6	214.6	0	1000
212.65	214.65	0	1000
212.7	214.7	0	1000
212.75	214.75	0	1000
212.8	214.8	0	1000
212.85	214.85	0	1000
212.9	214.9	0	1000
212.95	214.95	0	1000
213	215	0	1000
213.1	215.1	0	1000
213.15	215.15	0	1000
213.2	215.2	0	1000
213.25	215.25	0	1000
213.3	215.3	0	1000
213.35	215.35	0	1000
213.4	215.4	0	1000
213.45	215.45	0	1000
213.5	215.5	0	1000
213.55	215.55	0	1000
213.6	215.6	0	1000
213.65	215.65	0	1000
213.7	215.7	0	1000
213.75	215.75	0	1000
213.8	215.8	0	1000
213.85	215.85	0	1000
213.9	215.9	0	1000
213.95	215.95	0	1000
214	216	0	1000
214.05	216.05	0	1000
214.1	216.1	0	1000
214.15	216.15	0	1000
214.2	216.2	0	1000
214.25	216.25	0	1000
214.3	216.3	0	1000
214.35	216.35	0	1000
214.4	216.4	0	1000
214.45	216.45	0	1000
214.5	216.5	0	1000
214.55	216.55	0	1000
214.6	216.6	0	1000
214.65	216.65	0	1000
214.7	216.7	0	1000
214.75	216.75	0	1000
214.8	216.8	0	1000
214.85	216.85	0	1000
214.9	216.9	0	1000
214.95	216.95	0	1000
215	217	0	1000
215.05	217.05	0	1000
215.1	217.1	0	1000
215.15	217.15	0	1000
215.2	217.2	0	1000
215.25	217.25	0	1000
215.3	217.3	0	1000
215.35	217.35	0	1000
215.4	217.4	0	1000
215.45	217.45	0	1000
215.5	217.5	0	1000
215.55	217.55	0	1000
215.6	217.6	0	1000
215.65	217.65	0	1000
215.7	217.7	0	1000
215.75	217.75	0	1000
215.8	217.8	0	1000
215.85	217.85	0	1000
215.9	217.9	0	1000
215.95	217.95	0	1000
216	218	0	1000
216.05	218.05	0	1000
216.1	218.1	0	1000
216.15	218.15	0	1000
216.2	218.2	0	1000
216.25	218.25	0	1000
216.3	218.3	0	1000
216.35	218.35	0	1000
216.4	218.4	0	1000
216.45	218.45	0	1000
216.5	218.5	0	1000
216.55	218.55	0	1000
216.6	218.6	0	1000
216.65	218.65	0	1000
216.7	218.7	0	1000
216.75	218.75	0	1000
216.8	218.8	0	1000
216.85	218.85	0	1000
216.9	218.9	0	1000
216.95	218.95	0	1000
217	219	0	1000
217.05	219.05	0	1000
217.15	219.15	0	1000
217.2	219.2	0	1000
217.25	219.25	0	1000
217.3	219.3	0	1000
217.35	219.35	0	1000
217.4	219.4	0	1000
217.45	219.45	0	1000
217.5	219.5	0	1000
217.55	219.55	0	1000
217.6	219.6	0	1000
217.65	219.65	0	1000
217.7	219.7	0	1000
217.75	219.75	0	1000
217.8	219.8	0	1000
217.85	219.85	0	1000
217.9	219.9	0	1000
217.95	219.95	0	1000
218	220	0	1000
218.05	220.05	0	1000
218.1	220.1	0	1000
218.15	220.15	0	1000
218.2	220.2	0	1000
218.25	220.25	0	1000
218.35	220.35	0	1000
218.45	220.45	0	1000
218.55	220.55	0	1000
218.6	220.6	0	1000
218.65	220.65	0	1000
218.7	220.7	0	1000
218.75	220.75	0	1000
218.8	220.8	0	1000
218.9	220.9	0	1000
219	221	0	1000
219.05	221.05	0	1000
219.1	221.1	0	1000
219.25	221.25	0	1000
219.3	221.3	0	1000
219.35	221.35	0	1000
219.4	221.4	0	1000
219.45	221.45	0	1000
219.55	221.55	0	1000
219.6	221.6	0	1000
219.7	221.7	0	1000
219.75	221.75	0	1000
219.8	221.8	0	1000
219.85	221.85	0	1000
219.9	221.9	0	1000
219.95	221.95	0	1000
220	222	0	1000
220.05	222.05	0	1000
220.1	222.1	0	1000
220.15	222.15	0	1000
220.2	222.2	0	1000
220.25	222.25	0	1000
220.3	222.3	0	1000
220.35	222.35	0	1000
220.4	222.4	0	1000
220.45	222.45	0	1000
220.5	222.5	0	1000
220.55	222.55	0	1000
220.6	222.6	0	1000
220.65	222.65	0	1000
220.7	222.7	0	1000
220.75	222.75	0	1000
220.8	222.8	0	1000
220.85	222.85	0	1000
220.9	222.9	0	1000
220.95	222.95	0	1000
221	223	0	1000
221.05	223.05	0	1000
221.1	223.1	0	1000
221.15	223.15	0	1000
221.2	223.2	0	1000
221.25	223.25	0	1000
221.3	223.3	0	1000
221.5	223.5	0	1000
221.6	223.6	0	1000
221.8	223.8	0	1000
221.9	223.9	0	1000
221.95	223.95	0	1000
222	224	0	1000
222.05	224.05	0	1000
222.15	224.15	0	1000
222.2	224.2	0	1000
222.25	224.25	0	1000
222.3	224.3	0	1000
222.4	224.4	0	1000
222.5	224.5	0	1000
222.55	224.55	0	1000
222.6	224.6	0	1000
222.65	224.65	0	1000
222.7	224.7	0	1000
222.8	224.8	0	1000
222.9	224.9	0	1000
222.95	224.95	0	1000
223.05	225.05	0	1000
223.1	225.1	0	1000
223.15	225.15	0	1000
223.2	225.2	0	1000
223.25	225.25	0	1000
223.3	225.3	0	1000
223.35	225.35	0	1000
223.4	225.4	0	1000
223.45	225.45	0	1000
223.5	225.5	0	1000
223.55	225.55	0	1000
223.6	225.6	0	1000
223.65	225.65	0	1000
223.7	225.7	0	1000
223.75	225.75	0	1000
223.8	225.8	0	1000
223.85	225.85	0	1000
223.9	225.9	0	1000
223.95	225.95	0	1000
224	226	0	1000
224.05	226.05	0	1000
224.1	226.1	0	1000
224.15	226.15	0	1000
224.2	226.2	0	1000
224.25	226.25	0	1000
224.3	226.3	0	1000
224.35	226.35	0	1000
224.4	226.4	0	1000
224.45	226.45	0	1000
224.5	226.5	0	1000
224.55	226.55	0	1000
224.6	226.6	0	1000
224.65	226.65	0	1000
224.7	226.7	0	1000
224.75	226.75	0	1000
224.8	226.8	0	1000
224.85	226.85	0	1000
224.9	226.9	0	1000
224.95	226.95	0	1000
225	227	0	1000
225.05	227.05	0	1000
225.1	227.1	0	1000
225.15	227.15	0	1000
225.2	227.2	0	1000
225.25	227.25	0	1000
225.3	227.3	0	1000
225.35	227.35	0	1000
225.4	227.4	0	1000
225.5	227.5	0	1000
225.55	227.55	0	1000
225.65	227.65	0	1000
225.7	227.7	0	1000
225.75	227.75	0	1000
225.8	227.8	0	1000
225.85	227.85	0	1000
225.9	227.9	0	1000
225.95	227.95	0	1000
226.05	228.05	0	1000
226.1	228.1	0	1000
226.2	228.2	0	1000
226.25	228.25	0	1000
226.3	228.3	0	1000
226.35	228.35	0	1000
226.4	228.4	0	1000
226.45	228.45	0	1000
226.5	228.5	0	1000
226.55	228.55	0	1000
226.6	228.6	0	1000
226.65	228.65	0	1000
226.7	228.7	0	1000
226.75	228.75	0	1000
226.8	228.8	0	1000
226.85	228.85	0	1000
226.9	228.9	0	1000
226.95	228.95	0	1000
227	229	0	1000
227.05	229.05	0	1000
227.1	229.1	0	1000
227.15	229.15	0	1000
227.2	229.2	0	1000
227.25	229.25	0	1000
227.3	229.3	0	1000
227.35	229.35	0	1000
227.4	229.4	0	1000
227.45	229.45	0	1000
227.5	229.5	0	1000
227.55	229.55	0	1000
227.6	229.6	0	1000
227.65	229.65	0	1000
227.7	229.7	0	1000
227.75	229.75	0	1000
227.8	229.8	0	1000
227.85	229.85	0	1000
227.9	229.9	0	1000
227.95	229.95	0	1000
228	230	0	1000
228.05	230.05	0	1000
228.1	230.1	0	1000
228.15	230.15	0	1000
228.2	230.2	0	1000
228.25	230.25	0	1000
228.3	230.3	0	1000
228.35	230.35	0	1000
228.4	230.4	0	1000
228.45	230.45	0	1000
228.5	230.5	0	1000
228.55	230.55	0	1000
228.6	230.6	0	1000
228.7	230.7	0	1000
228.75	230.75	0	1000
228.8	230.8	0	1000
228.9	230.9	0	1000
228.95	230.95	0	1000
229.15	231.15	0	1000
229.3	231.3	0	1000
229.35	231.35	0	1000
229.4	231.4	0	1000
229.45	231.45	0	1000
229.55	231.55	0	1000
229.6	231.6	0	1000
229.65	231.65	0	1000
229.8	231.8	0	1000
229.85	231.85	0	1000
229.9	231.9	0	1000
229.95	231.95	0	1000
230	232	0	1000
230.1	232.1	0	1000
230.2	232.2	0	1000
230.3	232.3	0	1000
230.4	232.4	0	1000
230.5	232.5	0	1000
230.6	232.6	0	1000
230.65	232.65	0	1000
230.7	232.7	0	1000
230.75	232.75	0	1000
230.85	232.85	0	1000
230.95	232.95	0	1000
231	233	0	1000
231.05	233.05	0	1000
231.1	233.1	0	1000
231.15	233.15	0	1000
231.2	233.2	0	1000
231.25	233.25	0	1000
231.3	233.3	0	1000
231.35	233.35	0	1000
231.4	233.4	0	1000
231.45	233.45	0	1000
231.5	233.5	0	1000
231.55	233.55	0	1000
231.6	233.6	0	1000
231.65	233.65	0	1000
231.7	233.7	0	1000
231.75	233.75	0	1000
231.8	233.8	0	1000
231.85	233.85	0	1000
231.9	233.9	0	1000
231.95	233.95	0	1000
232.05	234.05	0	1000
232.1	234.1	0	1000
232.2	234.2	0	1000
232.25	234.25	0	1000
232.3	234.3	0	1000
232.35	234.35	0	1000
232.45	234.45	0	1000
232.6	234.6	0	1000
232.65	234.65	0	1000
232.7	234.7	0	1000
232.75	234.75	0	1000
232.8	234.8	0	1000
232.85	234.85	0	1000
232.9	234.9	0	1000
233	235	0	1000
233.05	235.05	0	1000
233.1	235.1	0	1000
233.15	235.15	0	1000
233.2	235.2	0	1000
233.25	235.25	0	1000
233.3	235.3	0	1000
233.35	235.35	0	1000
233.4	235.4	0	1000
233.45	235.45	0	1000
233.5	235.5	0	1000
233.55	235.55	0	1000
233.6	235.6	0	1000
233.65	235.65	0	1000
233.7	235.7	0	1000
233.75	235.75	0	1000
233.8	235.8	0	1000
233.85	235.85	0	1000
233.9	235.9	0	1000
233.95	235.95	0	1000
234	236	0	1000
234.05	236.05	0	1000
234.1	236.1	0	1000
234.15	236.15	0	1000
234.2	236.2	0	1000
234.25	236.25	0	1000
234.3	236.3	0	1000
234.35	236.35	0	1000
234.4	236.4	0	1000
234.45	236.45	0	1000
234.5	236.5	0	1000
234.6	236.6	0	1000
234.7	236.7	0	1000
234.8	236.8	0	1000
234.85	236.85	0	1000
234.9	236.9	0	1000
235	237	0	1000
235.05	237.05	0	1000
235.1	237.1	0	1000
235.15	237.15	0	1000
235.2	237.2	0	1000
235.25	237.25	0	1000
235.3	237.3	0	1000
235.35	237.35	0	1000
235.4	237.4	0	1000
235.45	237.45	0	1000
235.5	237.5	0	1000
235.55	237.55	0	1000
235.6	237.6	0	1000
235.65	237.65	0	1000
235.7	237.7	0	1000
235.75	237.75	0	1000
