Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
7203.6	7204.7	0	2000
7207.1	7209.6	0	2000
7211.6	7216.1	0	2000
7216.3	7217.6	0	2000
7217.8	7219.1	0	2000
7221.8	7222.9	0	2000
7229.6	7231.1	0	2000
7233.3	7236.2	0	2000
7238.1	7240.7	0	2000
7243.8	7245.1	0	2000
7248.1	7249.2	0	2000
7251.5	7252.6	0	2000
7256.3	7258.2	0	2000
7259.8	7262.2	0	2000
7266	7267.1	0	2000
7279.5	7280.9	0	2000
7282.6	7283.7	0	2000
7285.1	7286.2	0	2000
7291.3	7292.4	0	2000
7297	7298.4	0	2000
7299	7300.1	0	2000
7300.3	7301.4	0	2000
7303.8	7304.9	0	2000
7306	7307.1	0	2000
7308.5	7309.6	0	2000
7313	7314.4	0	2000
7318	7319.4	0	2000
7321	7322.2	0	2000
7323.5	7324.7	0	2000
7325.8	7327.2	0	2000
7328.3	7330.7	0	2000
7331.3	7332.6	0	2000
7334.8	7335.9	0	2000
7340.3	7341.9	0	2000
7345.6	7346.7	0	2000
7347.3	7348.9	0	2000
7358.5	7359.6	0	2000
7364	7365.1	0	2000
7366	7367.1	0	2000
7367.5	7368.6	0	2000
7378.5	7379.6	0	2000
7385.3	7386.7	0	2000
7389	7390.2	0	2000
7390.5	7391.9	0	2000
7393.3	7394.6	0	2000
7396.1	7397.4	0	2000
7407.5	7408.7	0	2000
7410.8	7413.9	0	2000
7415.5	7418.2	0	2000
7419.8	7420.9	0	2000
7421.1	7422.2	0	2000
7432.8	7434.1	0	2000
7434.6	7437.2	0	2000
7437.6	7439.1	0	2000
7439.3	7441.1	0	2000
7441.5	7445.4	0	2000
7447.1	7448.2	0	2000
7448.6	7449.7	0	2000
7450.5	7452.4	0	2000
7459.8	7461.6	0	2000
7464.1	7465.2	0	2000
7469	7470.1	0	2000
7470.5	7471.7	0	2000
7482	7483.2	0	2000
7483.5	7484.6	0	2000
7485.5	7486.9	0	2000
7490.8	7491.9	0	2000
7494	7496.4	0	2000
7498.3	7499.4	0	2000
7501.8	7503.6	0	2000
7509.8	7511.2	0	2000
7514.3	7515.4	0	2000
7516	7518.1	0	2000
7519.3	7520.7	0	2000
7522.8	7524.7	0	2000
7525.6	7526.7	0	2000
7531	7532.4	0	2000
7538.3	7540.2	0	2000
7543	7544.2	0	2000
7546.8	7547.9	0	2000
7552.8	7553.9	0	2000
7557.6	7558.7	0	2000
7560.8	7561.9	0	2000
7569.5	7570.6	0	2000
7575.1	7576.2	0	2000
7585.1	7586.2	0	2000
7591.3	7592.4	0	2000
7593	7594.9	0	2000
7597.8	7599.4	0	2000
7602.3	7603.7	0	2000
7639.3	7640.4	0	2000
7641.6	7642.7	0	2000
7650.6	7651.7	0	2000
7653.1	7654.2	0	2000
7661.1	7662.2	0	2000
7668	7669.7	0	2000
7670.8	7671.9	0	2000
7678.6	7679.7	0	2000
7681.6	7684.4	0	2000
7685.5	7686.7	0	2000
7688	7689.2	0	2000
7689.6	7690.7	0	2000
7692.1	7693.2	0	2000
7693.6	7694.7	0	2000
7699	7700.1	0	2000
7703.8	7705.2	0	2000
7711.5	7712.9	0	2000
7717	7718.7	0	2000
7727	7728.1	0	2000
7728.8	7729.9	0	2000
7732.8	7733.9	0	2000
7747.1	7749.9	0	2000
7752.8	7753.9	0	2000
7767.5	7768.6	0	2000
7768.8	7770.9	0	2000
7783	7784.7	0	2000
7786.5	7787.6	0	2000
7787.8	7789.7	0	2000
7799.6	7801.7	0	2000
7806.8	7807.9	0	2000
7814.6	7815.7	0	2000
7818	7819.4	0	2000
7886.5	7887.7	0	2000
