Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
7208.6	7209.2	0	2000
7212	7212.9	0	2000
7213.6	7214.4	0	2000
7217	7217.4	0	2000
7218	7218.1	0	2000
7233.5	7234.4	0	2000
7235.5	7236.2	0	2000
7238.5	7238.7	0	2000
7244.3	7244.9	0	2000
7255.6	7255.7	0	2000
7256.3	7257.7	0	2000
7260.1	7261.4	0	2000
7282.8	7283.1	0	2000
7285.5	7286.6	0	2000
7291.5	7291.9	0	2000
7292.1	7292.2	0	2000
7305.8	7306.9	0	2000
7313.3	7314.1	0	2000
7328.6	7329.2	0	2000
7331.5	7332.2	0	2000
7340.8	7341.6	0	2000
7345.6	7345.9	0	2000
7390.8	7391.4	0	2000
7411.3	7412.1	0	2000
7412.3	7413.6	0	2000
7417.1	7417.7	0	2000
7433	7435.1	0	2000
7436.6	7437.1	0	2000
7438.1	7438.7	0	2000
7439.8	7440.7	0	2000
7442.5	7443.6	0	2000
7444.6	7445.1	0	2000
7451.1	7452.9	0	2000
7453.1	7453.2	0	2000
7460.1	7461.1	0	2000
7494.1	7495.4	0	2000
7510.3	7510.9	0	2000
7516.8	7517.7	0	2000
7519.6	7520.7	0	2000
7523.8	7523.9	0	2000
7524.3	7524.6	0	2000
7538.1	7539.2	0	2000
7543	7543.9	0	2000
7592.3	7592.4	0	2000
7593.6	7594.6	0	2000
7598	7598.1	0	2000
7598.3	7598.9	0	2000
7602.6	7603.4	0	2000
7604.8	7605.1	0	2000
7638.3	7639.7	0	2000
7642	7642.6	0	2000
7668.6	7669.1	0	2000
7682	7682.7	0	2000
7704.3	7704.9	0	2000
7711.6	7712.6	0	2000
7717.1	7718.1	0	2000
7727.3	7727.9	0	2000
7747.8	7749.9	0	2000
7753.3	7754.7	0	2000
7783.5	7784.1	0	2000
7788.3	7789.4	0	2000
7791.6	7792.2	0	2000
7800.5	7800.7	0	2000
7801	7801.6	0	2000
7818.6	7819.4	0	2000
7894.8	7895.4	0	2000
7899.1	7899.7	0	2000
7915.6	7916.1	0	2000
7919.5	7920.4	0	2000
7936.1	7936.7	0	2000
7958.3	7958.6	0	2000
8022.5	8023.4	0	2000
8071.5	8071.6	0	2000
8071.8	8072.6	0	2000
8075	8076.6	0	2000
8092.6	8094.2	0	2000
8110	8110.1	0	2000
8110.3	8111.4	0	2000
8111.6	8111.9	0	2000
8123.1	8123.7	0	2000
8129.8	8130.4	0	2000
8137.1	8138.1	0	2000
8141.6	8142.4	0	2000
8144.8	8147.7	0	2000
8148.1	8149.7	0	2000
8150.1	8151.7	0	2000
8155.5	8156.4	0	2000
8162.8	8164.1	0	2000
8168	8168.9	0	2000
8171.1	8171.2	0	2000
8172.5	8173.2	0	2000
8176.8	8177.9	0	2000
8179	8180.1	0	2000
8183.1	8183.7	0	2000
8190.6	8191.7	0	2000
8196.7	8197.3	0	2000
8199.2	8200	0	2000
8212.9	8213.8	0	2000
8215.7	8217	0	2000
8219.6	8221.3	0	2000
8222.5	8223.6	0	2000
8226.4	8226.7	0	2000
8227.9	8228.8	0	2000
8237.7	8238.1	0	2000
8241.7	8242.7	0	2000
8244.6	8245.1	0	2000
8247.6	8248.5	0	2000
8251.9	8252.2	0	2000
8255.4	8256.1	0	2000
8258.2	8260.1	0	2000
8262.6	8265.6	0	2000
8265.7	8266.1	0	2000
8267.1	8269.3	0	2000
8269.5	8270.1	0	2000
8273.5	8273.8	0	2000
8281.5	8282	0	2000
8284.7	8286	0	2000
8288.1	8291.2	0	2000
8293.7	8296.6	0	2000
8311.1	8314.5	0	2000
8328.5	8331	0	2000
